əˈbreɪd|ə'breɪd,abrade,v磨损;磨小,vt. 刮擦； <喻>（在精神方面）折磨（人）； 消磨（意志、精神等）； 使精疲力尽|vi. 经受磨损，受擦伤；,abrase;abrade sharp edges
əˈbreɪʒn|əˈbreʒən,abrasion,n表面磨损,n. 磨损； 擦伤处； <喻>摩擦； <地质>磨蚀（作用）,abrase abrade;cuts and abrasions
əˈbreɪsɪv|əˈbresɪv,abrasive,adj磨损的|生硬粗暴的,adj. 有磨蚀作用的； 摩擦的； 粗糙的； 使人厌烦的，伤人感情的|n. 研磨料； 琢料； 金刚砂；,abrasive paper ;abrasive manner
əˈbrest|əˈbrɛst,abreast,adv并列地;并排地,adv. 并列，并肩地； 并排； 不落后于；|adj. 并排的； 并肩的；,breast walk abreast
əˈbrɪdʒ|əˈbrɪdʒ,abridge,v删减|缩短,vt. 节略； 减少； 缩短； <古>剥夺（某人的）权利（或特权等）,abridge content
ˈæbrəgeɪt|ˈæbrəˌɡet,abrogate,v废止;废除,vt. 废除（法律等）； 取消； 去掉； 抛开|n. 取消，废除；,abrogate a law abrogation
æb'sɪʒən|æbˈsɪʒən,abscission,n切除|脱离,n. 切断，除去； 脱落； 切除；,scission n.切断*** 分开*** 分离*** 分裂corneal abscission
əbˈskɒnd|əbˈskɑnd,abscond,v潜逃;逃亡,vt. （尤指逃避逮捕）潜逃，逃跑；|n. 潜逃者； 逃跑者；,abscond with money decamp
ˌæbsənˈti:ɪzəm|ˌæbsənˈtiˌɪzəm,absenteeism,n旷课;旷工,n. 旷工； 旷课； 在外地主经济制； （地主、业主的）长期在外,absenteeism and dropout ;habitual absenteeism;absent;absentee
ˈæbsəlu:t|ˈæbsəˌlut,absolute,adj绝对的|限制的,adj. 绝对的，完全的； 不受任何限制[约束]的； 无条件的； 有无上权力或权威的|n. 绝对； 绝对事物；,absolute confidence
əbˈzɒlv|əbˈzɑlv,absolve,v赦免;免除,vt. 宣告…无罪，赦免…的罪行，宽恕…的罪行； 不受责难，免除责任 [义务] ***开脱（罪责）；,absolve sb from obligation solve
əbˈsɔ:b|əbˈsɔrb,absorb,v吸收|同化,vt. 吸收（液体、气体等）； 吸引（注意）； 吞并，合并； 忍受，承担（费用）,sorb;absorb heat
əbˈsteɪn|æbˈsten*** əb-,abstain,v禁绝;放弃,vi. 戒（尤指酒），戒除； 弃权； 避免；,abstain from sex stain污点;retain;maintain;obtain;contain
əbˈsti:miəs|æbˈstimiəs*** əb-,abstemious,adj有节制的;节俭的,adj. 适中的； （生活等）以节制为特点的； （饮食等）简单而有节制的； 节俭的|adv. 适中地，有节制地；|n. 适中，有节制；,be abstemious in eating
əbˈstenʃn|æbˈstɛnʃən*** əb-,abstention,n节制,n. 弃权； 避免； 回避； 节制,fasting and abstention from intoxicating drinks
æb'stenʃəs|æb'stenʃəs,abstentious,adj节制的,adj. 有节制的；,abstentious villagers
ˈæbstrækt|ˈæbˌstrækt,abstract,n摘要|抽象的,adj. 抽象的，理论上的； 难解的； 抽象派的； 茫然的|n. 抽象概念； 抽象派艺术作品； 摘要； [化]萃取物|vt. 提取，分离； 转移（注意等）； 概括，摘录； <婉辞>剽窃,abstract idea;his gaze abstracted ;abstract precious medicines from ordinary substances
əbˈstru:s|æbˈstrus*** əb-,abstruse,adj难懂的;深奥的,adj. 难解的；  深奥的； <古>秘密的； 隐藏的,abstruse theory ; abstract;construe解释
əbˈsɜ:d|əbˈsɜrd,absurd,adj荒谬的;可笑的,,quite/slightly/completely etc absurd
əˈbʌndəns|əˈbʌndəns,abundance,n充裕;多量,,an abundance of wavy red hair ;in abundance
əˈbʌndənt|əˈbʌndənt,abundant,丰富的;盛产的,,v abound;an abundant supply of fresh water
əˈbju:s|əˈbjuz,abuse,v辱骂|滥用,n. 滥用； 恶习； 侮辱； 恶言|vt. 滥用； 虐待； 辱骂；,abuse sb; child abuse;an abuse of power;
əˈbju:sɪv|əˈbjusɪv*** -zɪv,abusive,adj漫骂的毁谤的|虐待的,adj. 骂人的； 滥用的； 虐待的；,abusive language
əˈbʌt|əˈbʌt,abut,v接界,vt.& vi. （与…）邻接； （与…）毗连； 接触； 倚靠,abut on the church;adjoin;shops abut the narrow alleyways
əˈbɪzməl|əˈbɪzməl,abysmal,adj极深的|糟透的,adj. 深不可测的； 完全的； 极糟的； 深海的|adv. 极糟地； 可怕地； 完全地； 极端地,The reunion was an abysmal failure.;abyss
ˌækəˈdemɪk|ˌækəˈdɛmɪk,academic,adj学院的;学术的,adj. 学院的，大学的，学会的，（学术，文艺）协会的； 学究的，学理上的，空谈的，非实用的； 〈美〉文科的，文学的； 柏拉图学派的|n. 学者； 大学教师，大学生，学会会员； 纸上空论，空论； [A-]柏拉图哲学信奉者,academic standards;last academic year;A group of academics
əˌkædəˈmɪʃn|ˌækədəˈmɪʃn,academician,n院士|学会会员,n. 学会会员； 院士； 大学生； 学者,a famous academician
əkˈsi:d|ækˈsid,accede,v同意,vi. （正式）加入； 答应； （通过财产的添附而）增加； 开始任职,accede to one's request cede
əkˈseləreɪt|ækˈsɛləˌret,accelerate,v加速|促进,vt. （使）加快，（使）增速； 加速，催促； 促进； 速度增加|vi. 加快，加速；,decelerate;The car accelerated smoothly away.
əkˈsentʃueɪt|ækˈsɛntʃuˌet,accentuate,v重读|强调,vt. 强调，着重指出； 重读； 给…加上重音符号；,Her black hair accentuateed the delicateness of her skin. Emphasize;accent强调
ˈækses|ˈæksɛs,access,n通路|途径,n. 入口，出口； 接近，进入； 增长； 爆发|vt. 接近，进入； 使用，接近，获取；,no access to a lawyer;access a building
əkˈsesəbl|ækˈsɛsəbəl,accessible,adj易达到、受影响的,adj. 易接近的； 可理解的； 易相处的； 易感的,is accessible to people;
əkˈsesəri|ækˈsɛsəri,accessory,adj附属的;次要的,n. 附件； （衣服的）配饰； 从犯； 妇女饰品|adj. 附加的； 附属的； 辅助的； 同谋的,an accessory to murder ;accessory makers;accessory ingredient
əˈkleɪm|əˈklem,acclaim,v欢呼;称赞,v. 称赞； 赞扬； 向…欢呼； 向…喝彩|n. 公开赞扬； 称誉；|释义 热烈欢迎或赞同；,international/great/popular/public etc acclaim ;acclaim by sb
ˈækləmeɪt|əˈklaɪmɪt*** ˈækləˌmet,acclimate,v使适应,v. 使习惯于； 使服水土； 使适应；,climate n 气候*** 风土*** 思潮;The rice has been acclimated in this area.
ˈækəleɪd|ˈækəˌled*** -ˌlɑd,accolade,n推崇|赞扬,n. 嘉奖，表扬； 武士爵位的授予（礼）； [乐]达谱号；,the highest accolade
əˈkɒmədeɪt|əˈkɑmədeɪt,accommodate,v与一直|提供住宿,vt. 容纳； 使适应； 向…提供住处； 帮忙|vi. [后面省去反身代词]适应于； （眼）作调节，调节眼球的晶状体（使其变得适应不同距离的物体）； 调解，调停；,a hotel built to accommodate guests ; accommodate temperature changes
əˈkɒmədeɪtɪŋ|əˈkɑmədeɪtɪŋ,accommodating,adj乐于助人的,adj. 乐于助人的； 随和的； 善于适应新环境的； 调节性的|v. 容纳( accommodate的现在分词 )； 使适应； 向…提供住处； 帮忙,accommadate;an accommodating child
əˈkʌmpəni|əˈkʌmpəni*** əˈkʌmpni,accompany,v伴随;陪伴,vt. 陪伴，陪同； 附加，补充； 与…共存； 为…伴奏|vi. 伴奏；,accompany me on a trip ;accompany her on the piano
əˈkʌmplɪs|əˈkɑmplɪs,accomplice,n同谋者;帮凶,n. 共犯； 帮凶；,complice <古>同伙*** 共犯 accessary;His only accomplice
əˈkʌmplɪʃ|əˈkɑmplɪʃ,accomplish,v完成;做成功,vt. 完成； 达到（目的）； 走完（路程、距离等）； 使完美,We have accomplished all we set out to do.
əˈkʌmplɪʃt|əˈkɑmplɪʃt,accomplished,adj完成了的|有技巧的;有造诣的,adj. 才华高的； 技艺高超的； 熟练的；,highly/very accomplished ;an accomplished fact
əˈkɔ:d|əˈkɔrd,accord,v/n同意|一致,n. 协议； 条约； （色彩的）协调； 和解协议|vt. 给予； 使和谐一致； 使符合； 使适合|vi. 符合； 一致；,discord;He decided to go of his own accord. ;The punishments accorded with the current code of discipline.
əˈkɒst|əˈkɔst,accost,v搭话,vt. 走过去跟…讲话； 跟…搭讪； （乞丐等）上前向…乞讨； （妓女等）勾搭|vi. 贴近地面飞； <古>接界； 邻接； 交接|n. <罕>搭讪，攀谈；,accost sb in the street
əˌkaʊntə'bɪlətɪ|əˌkaʊntə'bɪlətɪ,accountability,n负有责任,n. 有责任，有义务，可说明性； 会计责任； 可计量性； 责任制,ability;say with accountability
æ'kri:t|əˈkrit,accrete,v逐渐增长添加生长|连生,v. 共生； 合生； 使依附； 使连接|adj. 共生的；|vi. 逐渐增长；,accretion 增长;rapidly accrete;accrete with weed
əˈkri:ʃn|əˈkriʃən,accretion,n自然的增长|增加物,n. 堆积； <植>连生； 添加生长； <天>吸积,the accretion of soil
əˈkru:|əˈkru,accrue,v增大|增多,vi. 增加； （通过自然增长）产生； 获得； （使钱款、债务）积累|vt. （利息等）自然增值； [法]（诉讼）发生；,accrual; interest accrued;let interest charges accrue
əˈkju:mjəleɪt|əˈkjumjəˌlet,accumulate,v积聚;积累,vt.& vi. 堆积，积累；|vi. （数量）逐渐增加，（质量）渐渐提高；,accumulate enduring wealth
ˈækjərəsi|ˈækjərəsi,accuracy,n精确;准确,n. 精确（性），准确（性）；,with accuracy
ˈækjərət|ˈækjərɪt,accurate,adj精确的;准确的,adj. 精确的，准确的； 正确无误的；,accurate evaluation of
əˈkju:z|əˈkjuz,accuse,v谴责;指责,v. 指责，谴责； 指控；,accuse sb of sth
əˈsɜ:bɪk|əˈsɜrbɪk,acerbic,adj苦涩的|刻薄的,adj. 酸的，尖刻的； 酸性；,acerbic words; acid
əkˈnɒlɪdʒ|əkˈnɑlɪdʒ,acknowledge,v承认|致谢,vt. 承认； 鸣谢； 对…打招呼； 告知已收到,acknowledge a fact;refused to acknowledge her
ˈækmi|'ækmɪ,acme,n顶点;极点,n. 最高点，顶点，极点； 极盛时期；,reach the acme of;the acme of perfection
ˈækəlaɪt|ˈækəˌlaɪt,acolyte,n助手;侍僧,n. 助手； 随从； 新手； <宗>（天主教）侍祭,adjutant adj.补助的n.副官;my acolyte
ˈeɪkɔ:n|ˈeɪkɔrn,acorn,n橡子;橡果,n. 橡子，栎实；,oak and acorn
əˈku:stɪk|əˈkustɪk,acoustic,adj听觉的;有关声音的,adj. 听觉的； 声学的； 原声的； 音响的,acoustic microscope ;acoustic wave
əˈkweɪnt|əˈkwent,acquaint,v使熟知|通知,vt. 使熟悉； 使认识； 把某事通知某人，告知；,acquaint yourself with something
əˈkweɪntəns|əˈkwentəns,acquaintance,n熟知|熟人,n. 相识的人，熟人； 相识； 对…有了解； 知识，心得,mutual acquaintance ;have a passing/nodding acquaintance with something
əˈkweɪntɪd|əˈkwentɪd,acquainted,adj对某事物熟悉的;对某人认识的,adj. 了解； 知晓（某事）； 熟悉； 交游甚广的|v. 使熟悉( acquaint的过去式和过去分词 )； 使了解； 通知； 告知,be acquainted with something
ˌækwiˈes|ˌækwiˈɛs,acquiesce,v勉强同意;默许,vi. 默认，默许；|adj. 默认的；,-esce acquiesce in sth
ə'kwaɪəd|əˈkwaɪrd,acquired,adj后天习得的,adj. （尤指靠自己的努力或行动）获得的； 习得的； <医>后天的； 起初不喜欢但后来逐渐培养的爱好|v. 获得( acquire的过去式和过去分词 )； （使用探测器）捕获（目标）； 取得； （计算机、机器人等）捕捉,acquired immunity;acquired skills
əˈkwɪzətɪv|əˈkwɪzɪtɪv,acquisitive,adj渴望得到的;贪婪的,adj. （对钱财等）渴望得到的，贪得无厌的； 能够获得并保存的；,an acquisitive mind;the acquisitive aspirations
əˈkwɪt|əˈkwɪt,acquit,v宣告无罪|脱卸义务和责任|还清,vt. 宣判无罪； 除去责任或义务； 表现，履行； 付清，还清,acquit somebody of something
əˈkwɪtl|əˈkwɪtl,acquittal,n宣告无罪;开释,n. 宣告无罪； （义务、职责等的）履行； 尽职； <古>（债务等的）清偿,acquit v. conviction ;.the acquittal of sb;
ˈækrɪd|ˈækrɪd,acrid,adj辛辣的;刻薄的,adj. 辛辣的； 刺鼻的； （性格、态度、言词等）刻薄的； 尖刻的,a cloud of acrid smoke
ˌækrɪˈməʊniəs|ˌækrɪˈmoʊniəs,acrimonious,adj尖刻的;严厉的,adj. 辛辣的； 严厉的，刻薄的； 剧烈的；,The meeting ended in an acrimonious dispute.
ˈækrɪməni|ˈækrɪmoʊni,acrimony,n尖刻;刻薄,n. （言语、态度等的）尖刻； 讥讽； 毒辣； 激烈,There has been acrimony between the two men ever since.
ˈækrəbæt|ˈækrəˌbæt,acrobat,n特技演员;杂技演员,n. 杂技演员； 立场观点善变的人，主张、政见等变化无常的人；,acrobatic;a child acrobat
ˌækrə'fəʊbɪə|ˌækrəˈfobiə,acrophobia,n恐高症,n. 恐高症； 巨高恐怖；,She has acrophobia
əˈkju:əti|əˈkjuɪti,acuity,n敏锐,n. 尖锐，（疾病的）剧烈，（视力、才智等的）敏锐； 敏度；,A motorist needs good visual acuity .
ˈækjəmən|əˈkjumən*** ˈækjə-,acumen,n敏锐;精明,n. 敏锐；  聪明； <植>渐尖头； <动>短刺,business/political/financial etc acumen
əˈkju:t|əˈkjut,acute,adj灵敏的|急性的,,acute pain ; blunt
ˈædɪdʒ|ˈædɪdʒ,adage,n格言;古训,n. 谚语，格言；,old adage ;proverb
ˈædəmənt|ˈædəmənt*** -ˌmænt,adamant,adj强硬的|固执的,adj. 坚硬无比的； 牢不可破的； 坚定不移的； 坚决的|n. 坚硬的物质； <地质>硬石； <诗>牢不可破；,an adamant shortage of;sb be adamant about something;
əˈdæpt|əˈdæpt,adapt,v使适应|修改,vi. 适应于，适应不同情况（或环境）(to)；|vt. 改编，改写； 改变…以适合(for)；,adapt to anew situation
əˈdæptəbl|əˈdæptəbəl,adaptable,adj有适应能力的|可改编的,adj. 可适应的； 有适应能力的； 适合的； 可改编的,makes you adaptable;scalable and adaptable;
əˈdendəm|əˈdɛndəm,addendum,n补充;附录,n. 附加物； 补遗； 附录； <机>（齿轮的）齿顶（高）,add;an addendum to section 4
ˈædɪkt|əˈdɪkt,addict,v/n沉溺|上瘾,n. 有瘾的人； 入迷的人； （吸毒）成瘾者；|vt. 使沉溺； 使上瘾； 使自己沾染（某些恶习）；,be addicted to rock music;a drug addict;
əˈdɪʃn|əˈdɪʃən,addition,n增加;附加,n. 加，增加，附加； [数]加法； 增加的人或事物；,In addition; a worthy addition to;addition and subtraction
ˈædətɪv|ˈædɪtɪv,additive,n添加剂,n. 添加剂； 添加物； [数]加法；|adj. 附加的； [化]加成的，加和的； [数]加法的；,permitted food additives
əˈdres|ˈædres,address,v处理;对付;着手解决,n. 地址； 通信处； 演说； 称呼|v. 写姓名地址； 演说； 向…说话； 称呼,address a problem;a letter addressed to sb;give an address
əˈdept|əˈdɛpt,adept,adj老练的;精通的,adj. 精于…的，擅长于…的； 巧妙的；,be adept (at/in doing sth) ept adj. 聪明能干的 inept
ˈædɪkwət|ˈædɪkwɪt,adequate,adj足够的,,be adequate for
ədˈhɪə(r)|ədˈhɪr,adhere,v粘着,vi. 黏附； 附着； 坚持； 追随|vt. 使粘附； 遵循，坚持； 追随，依附；,adhere to a rule /sth
ədˈhɪərənt|ədˈhɪrənt,adherent,n拥护者;信徒,n. 支持者，拥护者；|adj. 粘着的； <植>贴生的； （由于协议、合约等而）发生关系的； <语>修饰语的,an adherent of (to)
ədˈhi:sɪv|ædˈhisɪv*** -zɪv,adhesive,adj带粘性的;胶粘的,n. 黏合剂，粘着剂；|adj. 可黏着的，黏性的；,adhesive tape
əˈdʒeɪsnt|əˈdʒesənt,adjacent,adj接近的;毗连的,,be adjacent to a place
əˈdʒɜ:n|əˈdʒɜrn,adjourn,v使延期;推迟|休会,vt.& vi. （使）休会，（使）休庭；,adjourn the meeting for an hour;prorogue
ˈædʒʌŋkt|ˈædʒˌʌŋkt,adjunct,n附加物;附件,n. 附件，助手；|adj. 附属的；,Online instruction is a useful adjunct to the real thing. ;a potent adjunct to
əˈdʒʌst|əˈdʒʌst,adjust,v整顿;整理,vt.& vi. （改变…以）适应，调整，校正； 调准（望远镜等），对准，校正，校准（机械等）； 核算（盈亏）； [保]评定（赔偿要求）,Adjust ways of; adjust themselves to civil society.
ədˈmaɪə(r)|ædˈmaɪr,admire,v钦佩;赞赏,vt. 赞赏； 称赞； 欣赏； <美口>想要,I admired her /sth
ədˈmɪʃn|ædˈmɪʃən,admission,n许可|入会费|承认,n. 准许进入； 承认； 坦白； 入场费,admission (to/into sth)
ədˈmɒnɪʃ|ədˈmɑnɪʃ,admonish,v训诫|警告,vt. 劝告； 训诫； （温和地）责备； 轻责,admonish sb to do sth
əˈdəʊbi|əˈdoʊbi,adobe,n泥砖;土坯,n. 风干土坯； 风干砖坯； （制风干砖用的）灰质粘土； 泥砖砌成的房屋|adj. 用土坯建造的；,made of adobe
ˌædəˈlesnt|ˌædə'lesnt,adolescent,adj青春期的;青少年,n. 少年，少女；|adj. 青春期的； 青少年的； 未成熟的；,adolescent girls ; he's no adolescent
əˈdɒpt|əˈdɑpt,adopt,v收养|采纳,vt. 采用，采取，采纳； 收养； 正式接受，接受； 批准,adopt a resolution ;adopt a child
əˈdɔ:(r)|əˈdɔr*** əˈdor,adore,v崇拜|热爱,vt. 爱慕； 崇拜； 非常喜欢； 敬佩|vi. 崇拜； 爱慕；,Betty adores her grandchildren.
əˈdɔ:n|əˈdɔrn,adorn,v装饰,vt. 装饰，修饰； 佩戴； 使生色；,adorn something with something
əˈdrɔɪt|əˈdrɔɪt,adroit,adj熟练的;灵巧的,adj. 熟练的，机敏的； 机巧； 一把好手；,be adroitin [at] ;an adroit tennis player
ædʒʊleɪt|ˈædʒəˌlet,adulate,v谄媚;奉承,vt. 谄媚，奉承；,flatter adulation;adulate every decision of their leaders
əˈdʌltəreɪt|əˈdʌltəˌret,adulterate,v掺假,vt. （尤指食物）掺假； <废>奸污，诱奸；|adj. 掺杂的； 掺假的； 不纯的； 通奸的|n. 掺假；,adulterate the wine with water
ˈædəmbreɪt|ˈædəmˌbret*** əˈdʌm-,adumbrate,v预示,vt. 约略显示，勾画出…的轮廓；|n. 预示； 预兆； 遮蔽；  遮暗,adumbrate a revolution ; adumbration n.预兆
ˈædvent|ˈædˌvɛnt,advent,n到来;来临,n. 出现； 到来； 基督降临节（圣诞节前的四个星期）；,the advent of something
ˌædvenˈtɪʃəs|ˌædvɛnˈtɪʃəs*** -vən-,adventitious,adj偶然的,adj. 偶然的； 外来的； <生>偶生的； 后天的,unexpected ;adventitious viruses
ˈædvɜ:s|ˈædvɜrs,adverse,adj不利的相反的|敌对的,adj. 不利的； 有害的； 逆的； 相反的,have an adverse effect
ˈædvətaɪz|ˈædvərtaɪz,advertise,v做广告|通知,vt. 做广告，做宣传； 通告，通知； 宣扬；|vi. 登广告，做广告； 做宣传；,be advertised for sale
ədˈvaɪzəbl|ædˈvaɪzəbəl,advisable,adj适当的;可行的,adj. 明智的； 可取的； 能劝告的； 适当的,It is advisable to
ˈædvəkəsi|ˈædvəkəsi,advocacy,n拥护;支持,n. 支持； 辩护； 辩护术； 辩护业,support your advocacy of free trade.
ˈædvəkeɪt|ˈædvəˌket,advocate,v拥护;支持;鼓吹|,vt. 提倡； 拥护； 鼓吹； 为…辩护|n. （辩护）律师； 提倡者； 支持者；,a strong advocate of;advocate frugal lifestyle
ˈi:dʒɪs|ˈidʒɪs,aegis,n盾|保护;庇护,n. 保护； 支持； 由…主办； 在…的支持下,under the aegis of
ˈeəreɪt|ˈereɪt,aerate,v充气;让空气进入,v. 使暴露于空气中，使充满气体；,aer-空气*** 气体;aerate the soil
ˈeəriəl|ˈeriəl,aerial,adj空中的;空气中的,adj. 空气的； 航空的，空中的； 空想的；|n. [电讯] 天线；,an aerial attack
ˈi:sθi:t|ˈɛsθit,aesthete,n审美家,n. 审美家，唯美主义者；,esthete 美学家;an outstanding aesthete
i:sˈθetɪk|ɛsˈθɛtɪk,aesthetic,adj美学的;有审美感的,adj. 美的，美学的； 有关美的； 审美的； 具有审美趣味的|n. 美学标准，美感； 审美观；,an aesthetic design esthetic adj.感觉的
ˈæfəbl|ˈæfəbəl,affable,adj易于交谈的|和蔼的,adj. 友善的； 和蔼的； 平易近人的； （天气）宜人,an affable girl
ˌæfekˈteɪʃn|ˌæfɛkˈteʃən,affectation,n做作;虚假,n. 假装； 装模作样； 装模作样的言行； 矫情,affect affection; without affectation
əˈfektɪd|əˈfɛktɪd,affected,adj不自然的|假装的,adj. 感动的； 受到影响的； （人或行为）假装的； 倾向于…的|v. 影响( affect的过去式和过去分词 )； 假装； 感动； （疾病）侵袭,an affected laugh
əˈfekʃn|əˈfɛkʃən,affection,n爱,n. 喜爱，慈爱； 情感或感情； 意向； 疾病，病情,win sb's affection
ˌæfəˈdeɪvɪt|ˌæfɪˈdevɪt,affidavit,n宣誓书,n. <法>宣誓口供； 宣誓书；,A federal affidavit
əˈfɪlieɪt|əˈfɪliˌeɪt,affiliate,v加入|联合,vt. 使隶属于，接纳…为成员； 使紧密联系；|vt.& vi. 加入，与…有关； 为…工作；,The Society is not affiliated with any political party.
əˌfɪliˈeɪʃn|əˌfɪliˈeɪʃn,affiliation,n联系;联合,n. 加入； 附属； 联系或关系； 接纳,sb’s (political/religious etc) affiliation
əˈfɪnəti|əˈfɪnɪti,affinity,n密切关系;吸引力,n. 密切关系，姻亲关系； （男女之间的）吸引力，吸引人的异性； 类同； 类似，近似,have a strong affinity for sth/with sb
əˈfɜ:m|əˈfɜrm,affirm,v确认,vt.& vi. 断言，肯定； 证实，确实； [法]不经宣誓而庄严宣布； 承认,affirm a judgement of the lower court
əˈfɪks|əˈfɪks,affix,v粘上;贴上,vt. 附加； 粘贴； 加以； 盖（印章）,affix a stamp on an evelope
əˈflɪkt|əˈflɪkt,afflict,v使痛苦;折磨,vt. 使受痛苦； 折磨； 使苦恼；,inflict;a country afflicted by famine
əˈflɪkʃn|əˈflɪkʃən,affliction,n悲痛;受难的起因,n. 苦恼，痛苦； 灾难； 哀伤，忧伤； <天>受克星体,infliction 施加*** 使负担;the afflictions of old age
æflʊəns|ˈæfluəns*** əˈflu-,affluence,n充裕;富足,n. 富裕； 富足；,affluent families ;with increased affluence
ˈæfluənt|ˈæfluənt*** əˈflu-,affluent,adj富裕的;丰富的,adj. 富裕的，富足的； 流畅，滔滔不绝的；|n. 富裕的人； 支流；,an affluent society/area etc
,L02,,,
ə'fɔ:dəbl|əˈfɔrdəbəl*** əˈfor-,affordable,adj能够支付的,adj. 付得起的；;afford,
əˈfrʌnt|əˈfrʌnt,affront,v侮辱;冒犯,n. （当众）侮辱，（故意）冒犯；|vt. 公开侮辱； 冒犯； 面对； <古>相遇,affronted by ;an affront to sb;not dare affront him
əˈdʒendə|əˈdʒɛndə,agenda,n议程,n. 议事日程； 待议诸事项一览表； 日常工作事项； 议程（ agendum的名词复数）,be high on the agenda/be top of the agenda ;political/economic/legislative/domestic etc agenda
əˈglɒməreɪt|əˌglɑməreɪt,agglomerate,v凝聚;结块,adj. 成团的； 结块的； <植>群生的； 密集的|n. <冶>团块； <地质>集块岩； （杂乱的）堆积； <化>凝聚物,glomerate 集合成球状的*** 密集成簇的;an agglomerate of drug ;agglomerate with sth;agglomeration n. 凝聚；结块；附聚
